DataSeries,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Total Government Expenditure On Education,15300000,14583000,13992125,13060530,12909908,12259853,12723276,12875992,12690630,12468854,11934956,11598458,11638313,10496911,10740250,9875445,8685056,8229694,7527668,6959285,6082278,6214121,6214434,6597955,6239575,5867507,4857488,4853120,4449754,3771955,3443857,3318956,2902886,2597894,2816371,2056374,1765250,1604473,1654115,1641893,1812376,1769728,1611647,1358430,942517,688329,557528,464373,428297,418639,391264,334462,264877,210297,200478,184492,217619,158339,155738,142380,130211,120229,107888,94791,74557,61403
    Operating Expenditure,14448000,14132000,13672633,12890289,12604777,11766853,11932177,12429006,12079538,11812194,11235741,10712445,10664868,9637312,9697793,8998709,7837909,7476521,6785625,6351717,5215299,4974724,4996791,4824395,4766584,4276896,3256874,3167425,3347775,2997158,2682419,2486241,2210329,2043178,2356794,1794522,1619760,1461858,1352551,1280364,1388186,1272559,1107113,983751,712732,589419,503137,424030,380327,358461,339870,308005,255090,201512,187145,173599,199062,146797,135051,124076,112805,103358,94644,82307,67650,57100
        Primary Schools,3483354,3379124,3196552,3143296,2944535,2674257,2738444,2823567,2731770,2563211,2457901,2263510,2185580,1946159,1820988,1839190,1573321,1553535,1496718,1290409,1125876,1071327,1066364,1095536,1044461,995279,820842,818646,829887,764064,694703,633966,590326,559138,542903,524660,497385,446713,392741,384044,422806,403915,357249,337339,241364,210143,186266,156499,139735,133386,129351,119000,95175,85443,80895,77030,92961,71829,68177,66579,65144,61337,58581,50835,43908,37259
        Secondary Schools & Junior Colleges,3494055,3398325,3214540,3200498,3084162,2880658,3054241,3176690,3205954,3176978,3106955,3001876,2912565,2680062,2517230,2568469,2235912,2175783,2121570,1832546,1566402,1503050,1429183,1397564,1262302,1166827,1000479,973076,1019209,944274,831401,759658,664452,616059,597506,570969,533091,486227,424465,402396,431866,392387,348200,323163,244940,211840,181545,119794,103202,95146,88900,80004,62280,46488,44466,41090,47812,44698,37711,31387,24923,21212,17206,14751,12466,10409
        Institute Of Technical Education,571596.5,569449.7,527376.6,491147,498915,470521,473599,489278,471088,459931,432961,399949,376896,351658,346106,328067,262509,281262,253506,249154,203973,191135,171067,169499,162648,148416,126371,120441,124332,112899,109670,105648,103100,89000,87580,84300,79551,72857,64191,68966,80295,65662,55121,47401,38900,29694,25000,50029,48055,45171,45627,42162,34592,23901,22526,18727,18609,6335,6589,5729,4458,3376,2362,1217,1233,765
        Tertiary,4819749,4780020,4955759.3,4304619,4225708,4155545,4307399,4608243,4427056,4569272,4302171,4170881,4367236,3846318,4274059,3554419,3072091,2865478,2410538,2548044,1765894,1697571,1829834,1647121,1794287,1506313,1018907,1010985,1133984,999364,900171,861674,727482,638704,1034535,526477,434842,388999,408608,361644,382727,350152,291782,229057,156105,109650,86532,75212,69351,66524,59865,50375,40134,31065,27953,24931,27538,18827,17805,16155,14736,12735,12277,11248,6684,5816
            Universities,3389812.3,3366996.8,3612019.2,3047510,2939737,2906300,3008764,3243605,3046680,3138310,2897770,2736642,2969921,2536971,2973812,2305921,2014807,1808987,1491382,1719156,1058239,1029869,1034804,973779,1114554,898505,569971,537450,656619,546120,520289,502999,431554,412524,841154,351476,288571,259014,293443,240805,253811,240448,197947,156435,108527,74557,58185,48570,42568,43563,41048,36630,30026,22985,21185,18797,18719,13151,11986,11411,10337,9255,8744,8335,3689,3144
            National Institute Of Education,149288.5,138223.1,135125.1,125976,123306,122227,124176,105071,74774,80290,86526,94941,99668,113312,119266,123625,112474,110378,102243,100147,84722,73256,80766,94791,87000,83753,61697,53862,48131,59620,40922,38392,33335,29850,23373,23591,19395,16773,15910,15554,18482,21268,18817,17746,13955,11089,7831,10257,11043,9113,6487,5785,3593,2630,2568,2534,3469,2176,1979,2044,1999,1630,1533,1318,1200,1440
            Polytechnics,1280648.2,1274800.2,1208615,1131133,1162665,1127018,1174459,1259567,1305602,1350672,1317875,1339298,1297647,1196035,1180981,1124873,944810,946113,816913,728741,622933,594446,714264,578551,592733,524055,387239,419673,429234,393624,338960,320283,262593,196330,170008,151410,126876,113212,99255,105285,110434,88436,75018,54876,33623,24004,20516,16385,15740,13848,12330,7960,6515,5450,4200,3600,5350,3500,3840,2700,2400,1850,2000,1595,1795,1233
        Others,2079245.4,2005081.3,1778405.1,1750729,1851457,1585872,1358494,1331228,1243670,1042802,935753,876229,822591,813115,739410,708564,694076,600463,503293,431564,553154,511641,500343,514675,502886,460061,290275,244277,240363,176557,146474,125295,124969,140277,94270,88116,74891,67062,62546,63314,70492,60443,54761,46791,31423,28092,23794,22496,19984,18234,16127,16464,22909,14614,11304,11821,12141,5108,4769,4226,3545,4698,4218,4256,3359,2850
    Development Expenditure,852000,451000,319492,170241,305131,493000,791099,446986,611092,656660,699215,886013,973445,859599,1042457,876736,847147,753173,742043,607569,866978,1239397,1217643,1773560,1472991,1590611,1600614,1685695,1101979,774797,761438,832715,692557,554716,459577,261852,145490,142615,301564,361529,424190,497169,504534,374679,229785,98910,54391,40343,47970,60178,51394,26457,9787,8786,13334,10893,18557,11542,20687,18304,17406,16872,13244,12484,6907,4303
Proportion Of Government Expenditure On Education To GDP,2,2,2,1.9,2.1,2.5,2.5,2.5,2.6,2.8,2.8,2.9,3,2.8,3,2.9,2.9,3,2.7,2.9,2.8,3.1,3.6,3.9,3.9,3.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
